X,T,U
0.40625,0.195,0.12590026311772426
0.0,0.27,0.0002081344799249596
-0.5,0.285,-0.0007439745097999606
-0.203125,0.06,0.044712378902777794
-0.453125,0.21,0.08547572548470558
0.171875,0.12,0.04614245650890515
-0.609375,0.24,-0.38642746669832684
-0.5,0.18,-0.0002780897304744956
0.375,0.075,0.0781290712703466
-0.34375,0.165,0.12615798757255597
-0.1875,0.0,0.029231353557511497
0.703125,0.135,-0.5178318539777349
0.96875,0.21,-0.9911078585500821
0.046875,0.105,0.003707357114005605
0.625,0.135,-0.2847756428040231
-0.015625,0.15,0.0005792460599358257
0.03125,0.015,0.0010507032894256363
-0.046875,0.015,0.002345797266021424
0.609375,0.075,-0.1805152766915214
-0.09375,0.135,0.016556467197713066
0.03125,0.03,0.001135917120197838
0.71875,0.285,-0.8216180452112616
-0.875,0.03,-0.7581291131832081
0.75,0.195,-0.7543243482073658
-0.578125,0.21,-0.22709783411412343
-0.0625,0.27,0.014961147804879248
0.21875,0.24,0.12193116504744395
-0.46875,0.12,0.039093036037080364
0.4375,0.105,0.06294746893454323
0.71875,0.195,-0.6768663842988383
-0.15625,0.285,0.08925905655462045
-0.25,0.0,0.0441941738241593
0.375,0.195,0.14123503744920285
-0.609375,0.105,-0.20856978716969438
-0.59375,0.06,-0.13760106795167526
0.96875,0.195,-0.9896959378188698
-0.21875,0.195,0.09763459429744971
0.59375,0.135,-0.19820442046058923
0.625,0.105,-0.24770706770400586
0.15625,0.27,0.08285223982166712
0.265625,0.27,0.17983213436925866
0.25,0.27,0.1680840382591479
-0.53125,0.03,-0.03215838079803707
-0.9375,0.27,-0.9885359891154861
-0.375,0.0,0.05381485767634081
-0.4375,0.165,0.08475848807586828
0.078125,0.15,0.0125852716726928
0.53125,0.27,-0.10678429793882702
-0.703125,0.225,-0.6883888553680414
0.21875,0.015,0.03986536155527763
0.71875,0.18,-0.6490295419807868
-0.640625,0.12,-0.3089816478113339
-0.296875,0.165,0.11902810888803052
-0.421875,0.255,0.15262739585311014
0.640625,0.15,-0.3531490245780865
0.125,0.12,0.02632112736316351
0.0625,0.075,0.00559362233721028
-0.40625,0.27,0.1814489990681899
-0.296875,0.06,0.07077112013136336
0.171875,0.24,0.08388310829742082
0.296875,0.255,0.1847006042023163
0.53125,0.285,-0.1150277440365986
-0.078125,0.225,0.018347685060213642
0.671875,0.165,-0.47822762837812577
-0.921875,0.015,-0.8434124204156161
-0.578125,0.075,-0.11779880046799052
0.828125,0.285,-0.9493421551823988
0.09375,0.075,0.012253117760504195
0.09375,0.06,0.011364858762691221
-0.25,0.255,0.15625346292892447
0.421875,0.27,0.1641760902048989
-0.078125,0.165,0.013570902736412697
-0.734375,0.255,-0.8117103355599672
-0.125,0.06,0.019493311256002455
0.640625,0.075,-0.2510841648666318
0.109375,0.255,0.040397504198367296
0.53125,0.165,-0.0632636814416899
-0.078125,0.135,0.011671200974894436
-0.171875,0.27,0.09734194037692234
-0.828125,0.0,-0.5882225745827061
-0.328125,0.15,0.11646339082558152
0.75,0.09,-0.5622528324528278
0.53125,0.06,-0.03738234260645287
-0.234375,0.03,0.04727176410897439
-0.390625,0.12,0.09328413456119314
-0.09375,0.045,0.010540976235262713
0.28125,0.075,0.07288987741709782
-0.546875,0.015,-0.04730415320817899
0.125,0.225,0.0445014346341223
0.578125,0.015,-0.08750005571554062
0.890625,0.045,-0.8149772870369094
-0.6875,0.27,-0.7239466804025049
-0.84375,0.09,-0.784473186061633
0.875,0.165,-0.9159330467344842
-0.71875,0.0,-0.3277285618384459
-0.03125,0.225,0.003128042457259339
0.125,0.015,0.015561456931727329
-0.875,0.045,-0.7816238266698269
0.671875,0.18,-0.5061828804929156
0.6875,0.15,-0.4992535268560457
0.359375,0.135,0.1078836277300387
0.90625,0.06,-0.8639370624154741
-0.875,0.12,-0.87673262419898
-0.265625,0.0,0.04738294383564168
0.90625,0.18,-0.9523925365173107
0.34375,0.24,0.1818673155995456
-0.265625,0.015,0.051061478194667415
0.203125,0.045,0.04148785909973596
-0.453125,0.225,0.09205196245835823
-0.984375,0.12,-0.9899247617590206
-0.734375,0.06,-0.4645020226742953
0.984375,0.12,-0.9899247617590206
-0.09375,0.12,0.015356388451811503
0.859375,0.18,-0.9106779653596334
-0.609375,0.225,-0.3622941762612568
0.484375,0.105,0.01935017644004658
0.9375,0.075,-0.927109088424156
-0.0625,0.225,0.011922731727079777
-0.359375,0.21,0.15588091734726722
0.8125,0.27,-0.9300244961336536
-0.5,0.21,-0.0003769065752786682
-0.421875,0.285,0.1765465093369503
0.96875,0.015,-0.9423647932696101
0.484375,0.21,0.03251479178386865
0.296875,0.165,0.11902810888803067
-0.3125,0.03,0.06299342334415362
0.765625,0.255,-0.8650700429250328
-0.53125,0.0,-0.027663040581291987
-0.515625,0.105,-0.022163369911371633
-0.953125,0.18,-0.9808082233635675
-0.625,0.21,-0.396791951542921
0.75,0.135,-0.6482608993338967
0.75,0.12,-0.6198476565360189
-0.921875,0.06,-0.8912898579808144
0.09375,0.27,0.03258174988781337
-0.96875,0.045,-0.956322932310818
0.171875,0.045,0.03172778008264625
0.4375,0.225,0.11397595444045233
-0.421875,0.105,0.07288770815274803
-0.96875,0.21,-0.9911078585500822
-0.671875,0.075,-0.3279932901121569
0.859375,0.285,-0.9657856109464367
0.671875,0.27,-0.67711771008005
-0.578125,0.03,-0.09426806640290823
0.421875,0.075,0.0628004795876691
0.46875,0.15,0.0453698416029779
0.109375,0.285,0.04693783290088316
0.28125,0.195,0.13194161845585073
-0.1875,0.15,0.06179275242471828
0.8125,0.24,-0.9088325051054084
0.5625,0.105,-0.10409528258458786
-0.9375,0.18,-0.9725343099746824
0.609375,0.27,-0.4376611043570289
0.15625,0.045,0.02696408374407224
-0.375,0.255,0.18901859288380132
0.859375,0.045,-0.7468084527334021
0.484375,0.27,0.04372696619699171
0.59375,0.105,-0.17144507030398992
0.15625,0.255,0.07689933109867789
-0.265625,0.15,0.09986955000414027
0.296875,0.135,0.10265064201441682
-0.90625,0.0,-0.785924631201941
0.859375,0.105,-0.8346825226519069
-0.265625,0.09,0.0741672979770943
-0.1875,0.09,0.04581619610596305
0.03125,0.255,0.003655081312689823
-0.640625,0.18,-0.40163580226199114
-0.40625,0.225,0.1458278243850673
0.625,0.045,-0.18606136206418988
-0.3125,0.24,0.17732719439409697
-0.765625,0.225,-0.8293793485147689
0.3125,0.06,0.07312630183001981
-0.4375,0.255,0.13206298238146597
0.34375,0.12,0.10105867912536476
-0.0625,0.045,0.00480784965416927
-0.484375,0.015,0.012398865624787314
-0.25,0.285,0.18075442042911147
0.890625,0.015,-0.7709630488191558
-0.28125,0.165,0.11383360798409346
-0.109375,0.18,0.027752838772691708
-0.6875,0.165,-0.5275925562647846
-0.296875,0.015,0.056574519253184685
-0.421875,0.15,0.09109313600544225
-0.015625,0.12,0.00048771680058623534
0.9375,0.09,-0.9363035984750109
0.171875,0.105,0.042813840892915504
-0.609375,0.075,-0.1805152766915217
-0.03125,0.075,0.0014352384924204292
0.703125,0.105,-0.4620554771729055
-0.09375,0.06,0.011364858762691478
0.234375,0.09,0.06374319147747019
-0.703125,0.21,-0.6608563711978817
-0.65625,0.105,-0.3308332412213188
0.453125,0.105,0.05078553353418783
-0.03125,0.06,0.0013276034614073118
-0.765625,0.285,-0.8947043137553554
0.84375,0.075,-0.761155649617014
-0.734375,0.12,-0.5778370840842588
0.078125,0.195,0.015779664308363806
-0.875,0.075,-0.8242680325383118
-0.84375,0.255,-0.9448182644592
-0.671875,0.135,-0.42439116906993807
0.34375,0.03,0.06466969379537799
0.03125,0.21,0.002893708846962828
0.890625,0.18,-0.9402086386393119
-0.578125,0.12,-0.1469923085902295
0.265625,0.105,0.07990414609400688
0.828125,0.195,-0.8876373731283724
-0.640625,0.06,-0.23396160712433461
-0.484375,0.27,0.04372696619699162
-0.703125,0.195,-0.632672770357134
0.75,0.225,-0.8003053279225542
0.765625,0.105,-0.6318029656933518
0.296875,0.105,0.08848484507633045
0.546875,0.045,-0.05496286675960779
0.25,0.0,0.04419417382415919
-0.671875,0.15,-0.4509179801218645
-0.78125,0.03,-0.5279940602185558
0.71875,0.24,-0.7549674287831238
0.234375,0.165,0.09252053546973574
0.203125,0.165,0.0754383886544325
0.421875,0.045,0.05409963845503514
-0.6875,0.06,-0.34485932687480053
-0.609375,0.21,-0.33922892819547285
-0.328125,0.03,0.06426408623830136
0.546875,0.105,-0.07416550831982499
0.90625,0.09,-0.8937905849119152
0.578125,0.045,-0.1015493030066005
0.640625,0.015,-0.18867560034047087
-0.703125,0.18,-0.6040577960128585
-0.484375,0.195,0.030192224489406616
0.015625,0.165,0.0006311499223159434
-0.515625,0.03,-0.015178764536930511
0.34375,0.27,0.21005050277853576
0.453125,0.075,0.04375084107168417
-1.0,0.06,-0.9972687484688372
0.78125,0.12,-0.6980798795718799
-0.953125,0.165,-0.9778121204234523
-0.765625,0.075,-0.5743334563941807
0.609375,0.24,-0.3864274666983262
-0.359375,0.06,0.07441404393303797
0.046875,0.285,0.009258083758624358
-0.640625,0.03,-0.20279746663539056
-0.8125,0.285,-0.938886341953505
0.953125,0.015,-0.9108995087410059
-0.640625,0.075,-0.2510841648666322
0.90625,0.015,-0.8077208627709547
-0.359375,0.015,0.059498825480850795
-0.296875,0.15,0.11054398074959373
0.53125,0.21,-0.07921452041192187
-0.8125,0.21,-0.8824030779060242
-1.0,0.15,-0.9980841551478429
-0.46875,0.24,0.07086884117584658
-0.953125,0.12,-0.9658724877377192
-0.8125,0.24,-0.9088325051054083
-0.515625,0.0,-0.013045580405897983
